term,definition
Obligation,A binding commitment of federal funds. Not the same as money spent.
Competed share,Share of obligations awarded under full and open competition or an equivalent competitive procedure.
Portfolio-adjusted rate,Competition rate recomputed as if the agency bought the government-wide mix of goods and services. Separates practice from mission.
Within effect,The part of a change caused by organisations changing their own behaviour.
Mix effect,The part of a change caused by money moving between organisations.
Government-risk pricing,"Cost-reimbursement and time-and-materials contracts, where the government rather than the contractor absorbs cost overruns."
HHI,"Herfindahl-Hirschman Index, 0-10,000. Above 2,500 is 'highly concentrated' under DOJ/FTC guidelines."
September concentration,Share of a fiscal year's obligations placed in its final month. An even pace would be 8.3%.
Contract Efficiency Index,"Composite 0-100 score across five dimensions. A triage device for where to look, not a performance verdict."
Constant FY2025 dollars,"Inflation-adjusted using the GDP price deflator, so amounts across years are comparable."
